FreedomWing Joystick Adapter,,,Unit Cost,Total Print time (hr),Total filament (g),,,,Total Cost,,,,
Version: V1.1,Last Updated: 2022-Nov-22,, $71.89 ,2.52,30,,,, $75.89 ,,,,
Commercial Parts,,,,,,,,,,CANADA,USA,,
Part,Part Type,Part Label,QTY Needed,QTY/PKG,Price per package ($USD),Price per Unit ($USD),Price per Build($US),PKG Needed,Total,Link,,,
12V Step-Up Voltage Regulator U3V40F12,Electrical,,1,1, $10.25 , $10.25 , $10.25 ,1, $10.25 ,https://www.digikey.com/en/products/detail/pololu-corporation/4016/16164500,,,
9 Position D-Sub Receptacle Connector,Electrical,,1,1, $4.94 , $4.94 , $4.94 ,1, $4.94 ,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/5747844-4/808672,,,
"Resistor, 100K, Through-Hole",Electrical,"R1,R3,R5",3,1, $0.44 , $0.44 , $1.32 ,3, $1.32 ,https://www.digikey.com/en/products/detail/yageo/HHV-50JT-52-100K/2208380,,,
"Resistor, 47K, Through-Hole",Electrical,"R2,R4,R6",3,1, $0.10 , $0.10 , $0.30 ,3, $0.30 ,https://www.digikey.com/en/products/detail/yageo/CFR-25JB-52-47K/2218,,,
40V 1A Schottky Diode - DO-41 ,Electrical,"D1,D2",2,1, $0.35 , $0.35 , $0.70 ,2, $0.70 ,https://www.digikey.com/en/products/detail/comchip-technology/1N5819-G/3672582,,,
Tactile Switch SPST-NO,Electrical,RESET,1,1, $0.22 , $0.22 , $0.22 ,1, $0.22 ,https://www.digikey.com/en/products/detail/te-connectivity-alcoswitch-switches/1825966-1/1680318,,,
"Microcontroller, Adafruit Feather RP2040",Electrical,,1,1, $17.59 , $17.59 , $17.59 ,1, $17.59 ,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4884/14000603,,,
Header Kit for Feather,Electrical,,1,1, $0.95 , $0.95 , $0.95 ,1, $0.95 ,https://www.digikey.com/en/products/detail/adafruit-industries-llc/2886/5823440,,,
"Hex Nut, M2.5",Mechanical,,4,1, $0.17 , $0.17 , $0.68 ,4, $0.68 ,https://www.digikey.ca/en/products/detail/essentra-components/04M025045HN/9677099,,,
"Machine Screw, M2.5 x 6 mm, Nylon",Mechanical,,4,1, $0.24 , $0.24 , $0.96 ,4, $0.96 ,https://www.digikey.ca/en/products/detail/essentra-components/50M025045P008/11638585,,,
"Shipping, Digikey",Shipping,,1,1, $8.00 , $8.00 , $8.00 ,1, $8.00 ,,,,
Custom Printed Circuit Boards (PCBs),,,,,,,,,,CANADA,,,
"Part type (Electrical, Mechanical, Sanitization, etc)",Part Name,Part Label,QTY Needed,QTY/PKG,Price per package ($USD),Price per Unit ($USD),Price for qty needed($US),,Total,Link,,,
Custom PCB,Electrical,,1,5, $5.00 , $1.00 , $1.00 ,1, $5.00 ,,,,
"Shipping, PCB",Shipping,1,1, $24.00 , $24.00 , $24.00 , $24.00 ,1, $24.00 ,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,,,
Part,Description,,QTY Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,,
Lid,,,1,18, $0.45 ,95,,,,,,,
Case,,,1,9, $0.45 ,34,,,,,,,
Nut HolderA (Optional; Recommended),,,1,1, $0.03 ,5,,,,,,,
Nut HolderB (Optional; Recommended),,,1,2, $0.05 ,17,,,,,,,
,,,,Total Print Cost:, $0.98 ,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
Soldering iron,,,,,,,,,,,,,
Screwdriver,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
Base Part,Alternative Part Name,,,,,,,,,Link,,,
12V Step-Up Voltage Regulator U3V40F12,12V Step-Up Voltage Regulator U3V12F12,,,,,,,,,,,,
Adafruit Feather RP2040,Adafruit Feather M4 Express,,1,1, $22.95 , $22.95 , $22.95 ,,,https://www.digikey.com/en/products/detail/adafruit-industries-llc/3857/9553567,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12V Step-Up Voltage Regulator U3V40F12,,,,,,,,,,,,,
9 Position D-Sub Receptacle Connector,,,,,,,,,,,,,
100K Through-Hole Resistor,,,,,,,,,,,,,
47K Through-Hole Resistor,,,,,,,,,,,,,
40V 1A Schottky Diode - DO-41 ,,,,,,,,,,,,,
Tactile Switch SPST-NO,,,,,,,,,,,,,
Adafruit Feather RP2040,,,,,,,,,,,,,
Header Kit for Feather,,,,,,,,,,,,,
M2.5 Hex Nut,,,,,,,,,,,,,
M2.5 x 6 mm Machine Screw,,,,,,,,,,,,,
Digikey Shipping,,,,,,,,,,,,,
